material;descricao;categoria
31_000020588;PORTA FERR. AJX06R 203SA20S;Porta Ferramentas
31_000007273;REBOLO 200X12,7X32 A80N6V13 RT.;Abrasivos
31_000001308;REBOLO 200X12,7X32 AA60J6V15 RT.;Abrasivos
31_000001546;REBOLO 220X12,7X65 AA60J6V15 RT.;Abrasivos
31_000001356;REBOLO DTE 150x20x3 DBH50 97291747;Abrasivos
31_000019648;REBOLO PIRES CBN B126V240 30X1,6X6 R0,8;Abrasivos
31_000019649;REBOLO PIRES CBN B126V240 40X1,6X6 R0,8;Abrasivos
31_000019650;REBOLO PIRES CBN B126V240 50X1,6X6 R0,8;Abrasivos
31_000019652;REBOLO PIRES CBN B126V240 75X1,6X6 R0,8;Abrasivos
31_003084735;REBOLO RES DTE 6A2 150X10X3 DB(97291741);Abrasivos
31_000001320;REBOLO RESIN. DIAMANT.11V9 D151 C175 KTN;Abrasivos
31_000015275;BROCA CANHÃO B4015.F200Z02100R Ø 20,0;Rotativas
31_000004595;BROCA CONICA AR 11,8 mm DIN-345  TWIIL;Rotativas
31_000001302;BROCA CONICA AR 12,3MM DIN-345 TWILL;Rotativas
31_000000289;BROCA CONICA AR 18,5MM DIN-345;Rotativas
31_000004873;BROCA PAR. MD DIN-338 Ø2,1x24xD3x59L FUT;Rotativas
31_000000314;DRESSADOR D200 6,2x26 5A-0659CT 0,60klts;Dressadores
31_000000316;DRESSADOR FLIESEN F02/001 (P2B1);Dressadores
31_000018840;FRESA  ETM4030-08-TH Ø3,0xR0,80;Rotativas
